del_f(Hz),V2(mV),del_t(ns),|Z|(Ohm),phi,phifake,Zfake
-93,32.8,91,343,1.14194,1.14194,343.4
-92,32.0,90,336,1.12830,1.12830,335.5
-91,31.3,89,328,1.11364,1.11364,327.6
-90,30.5,87,320,1.09787,1.09787,319.7
-89,29.8,86,312,1.08088,1.08088,311.8
-88,29.0,85,304,1.06257,1.06257,303.9
-87,28.2,83,296,1.04280,1.04280,296.0
-86,27.5,81,288,1.02143,1.02143,288.2
-85,26.7,79,280,0.99832,0.99832,280.4
-84,26.0,77,273,0.97329,0.97329,272.6
-83,25.2,75,265,0.94617,0.94617,265.0
-82,24.5,73,257,0.91676,0.91676,257.5
-81,23.8,70,250,0.88486,0.88486,250.1
-80,23.1,68,243,0.85026,0.85026,243.0
-79,22.4,65,236,0.81274,0.81274,236.1
-78,21.8,61,229,0.77210,0.77210,229.5
-77,21.2,58,223,0.72813,0.72813,223.2
-76,20.6,54,217,0.68067,0.68067,217.4
-75,20.1,50,212,0.62959,0.62959,212.1
-74,19.7,46,207,0.57486,0.57486,207.4
-73,19.3,41,203,0.51652,0.51652,203.3
-72,18.9,36,200,0.45472,0.45472,200.0
-71,18.7,31,198,0.38977,0.38977,197.5
-70,18.5,26,196,0.32211,0.32211,196.0
-69,18.5,20,196,0.25236,0.25236,195.5
-68,18.5,14,196,0.18123,0.18123,196.1
-67,18.7,9,198,0.10954,0.10954,197.8
-66,18.9,3,201,0.03817,0.03817,200.7
-65,19.3,-3,205,-0.03204,-0.03204,204.8
-64,19.8,-8,210,-0.10032,-0.10032,210.1
-63,20.4,-13,217,-0.16600,-0.16600,216.6
-62,21.1,-18,224,-0.22857,-0.22857,224.2
-61,21.9,-23,233,-0.28765,-0.28765,233.0
-60,22.8,-27,243,-0.34301,-0.34301,242.9
-59,23.8,-31,254,-0.39457,-0.39457,253.8
-58,24.9,-35,266,-0.44234,-0.44234,265.7
-57,26.1,-39,279,-0.48639,-0.48639,278.6
-56,27.3,-42,292,-0.52689,-0.52689,292.4
-55,28.7,-45,307,-0.56400,-0.56400,307.1
-54,30.1,-48,323,-0.59793,-0.59793,322.6
-53,31.6,-50,339,-0.62891,-0.62891,338.9
-52,33.1,-52,356,-0.65713,-0.65713,356.1
-51,34.7,-54,374,-0.68281,-0.68281,374.0
-50,36.4,-56,393,-0.70614,-0.70614,392.7
-49,38.2,-58,412,-0.72730,-0.72730,412.2
-48,40.0,-59,432,-0.74648,-0.74648,432.5
-47,41.9,-61,453,-0.76381,-0.76381,453.5
-46,43.8,-62,475,-0.77944,-0.77944,475.3
-45,45.8,-63,498,-0.79351,-0.79351,497.8
-44,47.8,-64,521,-0.80613,-0.80613,521.1
-43,50.0,-65,545,-0.81741,-0.81741,545.2
-42,52.1,-66,570,-0.82743,-0.82743,570.1
-41,54.4,-67,596,-0.83630,-0.83630,595.9
-40,56.7,-67,622,-0.84407,-0.84407,622.5
-39,59.0,-68,650,-0.85083,-0.85083,649.9
-38,61.5,-68,678,-0.85663,-0.85663,678.2
-37,63.9,-69,707,-0.86154,-0.86154,707.5
-36,66.5,-69,738,-0.86559,-0.86559,737.7
-35,69.1,-69,769,-0.86884,-0.86884,768.9
-34,71.8,-69,801,-0.87132,-0.87132,801.0
-33,74.5,-69,834,-0.87307,-0.87307,834.3
-32,77.4,-70,869,-0.87412,-0.87412,868.6
-31,80.3,-70,904,-0.87451,-0.87451,904.0
-30,83.2,-70,941,-0.87425,-0.87425,940.7
-29,86.2,-70,979,-0.87337,-0.87337,978.5
-28,89.4,-69,1018,-0.87188,-0.87188,1017.7
-27,92.5,-69,1058,-0.86981,-0.86981,1058.2
-26,95.8,-69,1100,-0.86717,-0.86717,1100.1
-25,99.1,-69,1143,-0.86398,-0.86398,1143.4
-24,102.5,-68,1188,-0.86024,-0.86024,1188.3
-23,106.0,-68,1235,-0.85597,-0.85597,1234.8
-22,109.6,-68,1283,-0.85117,-0.85117,1283.0
-21,113.2,-67,1333,-0.84585,-0.84585,1332.9
-20,117.0,-67,1385,-0.84002,-0.84002,1384.7
-19,120.8,-66,1439,-0.83369,-0.83369,1438.5
-18,124.7,-66,1494,-0.82685,-0.82685,1494.3
-17,128.7,-65,1552,-0.81950,-0.81950,1552.4
-16,132.8,-65,1613,-0.81166,-0.81166,1612.7
-15,136.9,-64,1675,-0.80332,-0.80332,1675.5
-14,141.2,-63,1741,-0.79449,-0.79449,1740.8
-13,145.5,-62,1809,-0.78515,-0.78515,1808.8
-12,149.9,-62,1880,-0.77532,-0.77532,1879.7
-11,154.4,-61,1954,-0.76500,-0.76500,1953.7
-10,159.0,-60,2031,-0.75417,-0.75417,2030.9
-9,163.7,-59,2112,-0.74285,-0.74285,2111.5
-8,168.4,-58,2196,-0.73102,-0.73102,2195.8
-7,173.2,-57,2284,-0.71869,-0.71869,2284.0
-6,178.1,-56,2376,-0.70586,-0.70586,2376.3
-5,183.1,-55,2473,-0.69253,-0.69253,2473.0
-4,188.2,-54,2574,-0.67869,-0.67869,2574.5
-3,193.3,-53,2681,-0.66434,-0.66434,2680.9
-2,198.5,-52,2793,-0.64949,-0.64949,2792.8
-1,203.7,-50,2910,-0.63414,-0.63414,2910.4
0,209.0,-49,3034,-0.61828,-0.61828,3034.1
1,214.3,-48,3164,-0.60192,-0.60192,3164.5
2,219.7,-47,3302,-0.58507,-0.58507,3301.9
3,225.1,-45,3447,-0.56773,-0.56773,3446.8
4,230.5,-44,3600,-0.54990,-0.54990,3599.9
5,235.9,-42,3762,-0.53159,-0.53159,3761.7
6,241.3,-41,3933,-0.51281,-0.51281,3932.9
7,246.8,-39,4114,-0.49357,-0.49357,4114.0
8,252.2,-38,4306,-0.47389,-0.47389,4305.9
9,257.5,-36,4509,-0.45377,-0.45377,4509.2
10,262.9,-34,4725,-0.43323,-0.43323,4724.8
11,268.1,-33,4953,-0.41229,-0.41229,4953.3
12,273.4,-31,5196,-0.39096,-0.39096,5195.6
13,278.5,-29,5452,-0.36928,-0.36928,5452.5
14,283.5,-28,5725,-0.34725,-0.34725,5724.5
15,288.4,-26,6012,-0.32491,-0.32491,6012.3
16,293.2,-24,6316,-0.30228,-0.30228,6316.2
17,297.9,-22,6636,-0.27939,-0.27939,6636.3
18,302.4,-20,6972,-0.25627,-0.25627,6972.4
19,306.7,-19,7323,-0.23295,-0.23295,7323.5
20,310.9,-17,7688,-0.20946,-0.20946,7688.2
21,314.9,-15,8064,-0.18583,-0.18583,8064.0
22,318.7,-13,8448,-0.16209,-0.16209,8447.6
23,322.4,-11,8834,-0.13829,-0.13829,8834.0
24,325.8,-9,9217,-0.11444,-0.11444,9217.3
25,329.0,-7,9590,-0.09060,-0.09060,9589.8
26,331.9,-5,9943,-0.06679,-0.06679,9942.8
27,334.7,-3,10267,-0.04304,-0.04304,10266.7
28,337.2,-2,10552,-0.01938,-0.01938,10551.6
29,339.5,0,10788,0.00414,0.00414,10788.3
30,341.6,2,10969,0.02751,0.02751,10968.9
31,343.4,4,11088,0.05069,0.05069,11088.3
32,345.1,6,11144,0.07366,0.07366,11144.0
33,346.5,8,11137,0.09639,0.09639,11137.0
34,347.7,9,11071,0.11886,0.11886,11071.1
35,348.7,11,10953,0.14104,0.14104,10952.7
36,349.5,13,10790,0.16292,0.16292,10789.8
37,350.1,15,10591,0.18447,0.18447,10590.8
38,350.5,16,10364,0.20569,0.20569,10364.5
39,350.7,18,10119,0.22655,0.22655,10118.8
40,350.8,20,9861,0.24705,0.24705,9860.7
41,350.7,21,9596,0.26718,0.26718,9596.3
42,350.4,23,9330,0.28692,0.28692,9330.4
43,350.1,24,9067,0.30627,0.30627,9066.5
44,349.5,26,8808,0.32522,0.32522,8807.7
45,348.9,27,8556,0.34378,0.34378,8555.8
46,348.1,29,8312,0.36194,0.36194,8312.4
47,347.3,30,8078,0.37969,0.37969,8078.2
48,346.3,32,7854,0.39705,0.39705,7853.8
49,345.2,33,7639,0.41400,0.41400,7639.3
50,344.1,34,7435,0.43055,0.43055,7434.8
51,342.9,36,7240,0.44672,0.44672,7240.1
52,341.6,37,7055,0.46249,0.46249,7054.8
53,340.2,38,6879,0.47788,0.47788,6878.8
54,338.9,39,6711,0.49288,0.49288,6711.4
55,337.4,40,6552,0.50752,0.50752,6552.4
56,335.9,42,6401,0.52179,0.52179,6401.4
57,334.4,43,6258,0.53569,0.53569,6257.7
58,332.8,44,6121,0.54925,0.54925,6121.2
59,331.2,45,5991,0.56246,0.56246,5991.3
60,329.6,46,5868,0.57533,0.57533,5867.7
61,328.0,47,5750,0.58787,0.58787,5749.9
62,326.4,48,5638,0.60009,0.60009,5637.7
63,324.7,49,5531,0.61199,0.61199,5530.7
64,323.1,50,5429,0.62359,0.62359,5428.6
65,321.4,51,5331,0.63489,0.63489,5331.1
66,319.7,51,5238,0.64590,0.64590,5237.9
67,318.0,52,5149,0.65662,0.65662,5148.8
68,316.4,53,5064,0.66707,0.66707,5063.6
69,314.7,54,4982,0.67726,0.67726,4981.9
70,313.0,55,4904,0.68718,0.68718,4903.7
71,311.4,55,4829,0.69685,0.69685,4828.7
72,309.7,56,4757,0.70628,0.70628,4756.7
73,308.1,57,4688,0.71547,0.71547,4687.6
74,306.5,58,4621,0.72442,0.72442,4621.2
75,304.9,58,4557,0.73315,0.73315,4557.3
76,303.3,59,4496,0.74167,0.74167,4495.9
77,301.7,60,4437,0.74997,0.74997,4436.7
78,300.1,60,4380,0.75807,0.75807,4379.8
79,298.6,61,4325,0.76597,0.76597,4324.9
80,297.0,62,4272,0.77367,0.77367,4272.0
81,295.5,62,4221,0.78119,0.78119,4220.9
82,294.0,63,4172,0.78853,0.78853,4171.6
83,292.5,63,4124,0.79569,0.79569,4123.9
84,291.0,64,4078,0.80268,0.80268,4077.9
85,289.6,64,4033,0.80951,0.80951,4033.4
86,288.2,65,3990,0.81617,0.81617,3990.3
87,286.7,65,3949,0.82268,0.82268,3948.6
88,285.3,66,3908,0.82904,0.82904,3908.3
89,284.0,66,3869,0.83524,0.83524,3869.2
90,282.6,67,3831,0.84131,0.84131,3831.3
91,281.3,67,3795,0.84724,0.84724,3794.5
92,279.9,68,3759,0.85304,0.85304,3758.9
93,278.6,68,3724,0.85870,0.85870,3724.3
94,277.3,69,3691,0.86424,0.86424,3690.7
95,276.1,69,3658,0.86965,0.86965,3658.1
96,274.8,70,3626,0.87495,0.87495,3626.4
97,273.6,70,3596,0.88013,0.88013,3595.6
98,272.3,70,3566,0.88520,0.88520,3565.7
99,271.1,71,3537,0.89016,0.89016,3536.5
100,270.0,71,3508,0.89501,0.89501,3508.2
101,268.8,72,3481,0.89976,0.89976,3480.6
102,267.6,72,3454,0.90441,0.90441,3453.7
103,266.5,72,3428,0.90896,0.90896,3427.5
104,265.4,73,3402,0.91342,0.91342,3402.0
105,264.3,73,3377,0.91779,0.91779,3377.2
106,263.2,73,3353,0.92206,0.92206,3352.9
107,262.1,74,3329,0.92625,0.92625,3329.3
108,261.1,74,3306,0.93036,0.93036,3306.3
109,260.0,74,3284,0.93438,0.93438,3283.8
110,259.0,75,3262,0.93832,0.93832,3261.8
111,258.0,75,3240,0.94219,0.94219,3240.4
112,257.0,75,3219,0.94598,0.94598,3219.4
113,256.0,76,3199,0.94969,0.94969,3199.0
114,255.0,76,3179,0.95334,0.95334,3179.0
115,254.1,76,3159,0.95691,0.95691,3159.5
116,253.1,76,3140,0.96042,0.96042,3140.4
117,252.2,77,3122,0.96386,0.96386,3121.7
118,251.3,77,3103,0.96723,0.96723,3103.4
119,250.4,77,3086,0.97054,0.97054,3085.5
120,249.5,77,3068,0.97380,0.97380,3068.1
121,248.6,78,3051,0.97699,0.97699,3050.9
122,247.7,78,3034,0.98012,0.98012,3034.2
123,246.9,78,3018,0.98320,0.98320,3017.8
124,246.0,78,3002,0.98622,0.98622,3001.7
125,245.2,79,2986,0.98918,0.98918,2986.0
126,244.4,79,2971,0.99210,0.99210,2970.5
127,243.6,79,2955,0.99496,0.99496,2955.4
128,242.8,79,2941,0.99778,0.99778,2940.6
129,242.0,80,2926,1.00054,1.00054,2926.1
130,241.2,80,2912,1.00326,1.00326,2911.9
131,240.5,80,2898,1.00593,1.00593,2897.9
132,239.7,80,2884,1.00855,1.00855,2884.2
133,239.0,80,2871,1.01113,1.01113,2870.7
134,238.2,81,2858,1.01367,1.01367,2857.5
135,237.5,81,2845,1.01616,1.01616,2844.6
136,236.8,81,2832,1.01862,1.01862,2831.9
137,236.1,81,2819,1.02103,1.02103,2819.4
138,235.4,81,2807,1.02340,1.02340,2807.2
139,234.7,82,2795,1.02574,1.02574,2795.1
140,234.0,82,2783,1.02804,1.02804,2783.3
141,233.4,82,2772,1.03030,1.03030,2771.7
142,232.7,82,2760,1.03252,1.03252,2760.3
143,232.1,82,2749,1.03471,1.03471,2749.1
144,231.4,83,2738,1.03687,1.03687,2738.1
145,230.8,83,2727,1.03899,1.03899,2727.3
146,230.1,83,2717,1.04108,1.04108,2716.6
147,229.5,83,2706,1.04314,1.04314,2706.1
148,228.9,83,2696,1.04516,1.04516,2695.8
149,228.3,83,2686,1.04716,1.04716,2685.7
150,227.7,83,2676,1.04912,1.04912,2675.8
151,227.1,84,2666,1.05106,1.05106,2666.0
152,226.5,84,2656,1.05296,1.05296,2656.3
153,226.0,84,2647,1.05484,1.05484,2646.8
154,225.4,84,2638,1.05669,1.05669,2637.5
155,224.8,84,2628,1.05851,1.05851,2628.3
156,224.3,84,2619,1.06031,1.06031,2619.3
157,223.7,85,2610,1.06208,1.06208,2610.4
158,223.2,85,2602,1.06383,1.06383,2601.6
159,222.7,85,2593,1.06555,1.06555,2593.0
160,222.1,85,2584,1.06724,1.06724,2584.5
161,221.6,85,2576,1.06891,1.06891,2576.1
162,221.1,85,2568,1.07056,1.07056,2567.8
163,220.6,85,2560,1.07219,1.07219,2559.7
164,220.1,85,2552,1.07379,1.07379,2551.7
165,219.6,86,2544,1.07537,1.07537,2543.8
166,219.1,86,2536,1.07693,1.07693,2536.0
167,218.6,86,2528,1.07847,1.07847,2528.3
168,218.1,86,2521,1.07999,1.07999,2520.8
169,217.7,86,2513,1.08148,1.08148,2513.3
170,217.2,86,2506,1.08296,1.08296,2506.0
171,216.7,86,2499,1.08442,1.08442,2498.8
172,216.3,86,2492,1.08586,1.08586,2491.6
173,215.8,87,2485,1.08728,1.08728,2484.6
174,215.4,87,2478,1.08868,1.08868,2477.6
175,214.9,87,2471,1.09006,1.09006,2470.8
176,214.5,87,2464,1.09142,1.09142,2464.0
177,214.0,87,2457,1.09277,1.09277,2457.3
178,213.6,87,2451,1.09410,1.09410,2450.8
179,213.2,87,2444,1.09541,1.09541,2444.3
180,212.8,87,2438,1.09671,1.09671,2437.9
181,212.4,87,2432,1.09799,1.09799,2431.5
182,211.9,87,2425,1.09925,1.09925,2425.3
183,211.5,88,2419,1.10050,1.10050,2419.1
184,211.1,88,2413,1.10173,1.10173,2413.0
185,210.7,88,2407,1.10295,1.10295,2407.0
186,210.3,88,2401,1.10415,1.10415,2401.1
187,210.0,88,2395,1.10534,1.10534,2395.3
188,209.6,88,2389,1.10652,1.10652,2389.5
189,209.2,88,2384,1.10768,1.10768,2383.8
190,208.8,88,2378,1.10882,1.10882,2378.1
191,208.4,88,2373,1.10995,1.10995,2372.6
192,208.1,88,2367,1.11107,1.11107,2367.1
193,207.7,88,2362,1.11218,1.11218,2361.6
194,207.3,89,2356,1.11327,1.11327,2356.3
195,207.0,89,2351,1.11435,1.11435,2351.0
196,206.6,89,2346,1.11542,1.11542,2345.7
197,206.3,89,2341,1.11647,1.11647,2340.5
198,205.9,89,2335,1.11752,1.11752,2335.4
199,205.6,89,2330,1.11855,1.11855,2330.4
200,205.2,89,2325,1.11957,1.11957,2325.4
